ticker,sector,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,avg_block_count,avg_combined_score,composite_score
CMI,Industrials,9,0,0.000,9,1.000,0.00,0.0,85.8,0.00
CME,Financial Services,15,0,0.000,15,1.000,0.00,0.0,79.8,0.00
CMBT,Industrials,10,0,0.000,10,1.000,0.00,0.0,84.2,0.00
CM,Financial Services,8,0,0.000,8,1.000,0.00,0.0,74.2,0.00
CLX,Consumer Defensive,6,0,0.000,6,1.000,0.00,0.0,78.4,0.00
CLS,Technology,9,0,0.000,9,1.000,0.00,0.0,84.7,0.00
CLMT,Energy,19,0,0.000,19,1.000,0.00,0.0,86.8,0.00
CLH,Industrials,7,0,0.000,7,1.000,0.00,0.0,77.0,0.00
CLDX,Healthcare,5,0,0.000,5,1.000,0.00,0.0,76.0,0.00
CL,Consumer Defensive,7,0,0.000,7,1.000,0.00,0.0,87.9,0.00
CINF,Financial Services,9,0,0.000,9,1.000,0.00,0.0,82.6,0.00
CHRW,Industrials,12,0,0.000,12,1.000,0.00,0.0,78.6,0.00
CHRD,Energy,20,0,0.000,20,1.000,0.00,0.0,83.8,0.00
CHD,Consumer Defensive,12,0,0.000,12,1.000,0.00,0.0,83.2,0.00
CGNX,Technology,18,0,0.000,18,1.000,0.00,0.0,77.2,0.00
CGAU,Basic Materials,19,0,0.000,19,1.000,0.00,0.0,82.0,0.00
CFLT,Technology,19,0,0.000,11,0.579,0.00,0.0,81.2,0.00
CENX,Basic Materials,14,0,0.000,14,1.000,0.00,0.0,80.5,0.00
CELC,Healthcare,10,0,0.000,10,1.000,0.00,0.0,82.6,0.00
CEF,Financial Services,7,0,0.000,0,0.000,0.00,0.0,73.6,0.00
CECO,Industrials,5,0,0.000,5,1.000,0.00,0.0,86.8,0.00
CE,Basic Materials,17,0,0.000,17,1.000,0.00,0.0,81.0,0.00
CDP,Real Estate,8,0,0.000,8,1.000,0.00,0.0,78.5,0.00
CCL,Consumer Cyclical,5,0,0.000,5,1.000,0.00,0.0,84.2,0.00
CCK,Consumer Cyclical,11,0,0.000,11,1.000,0.00,0.0,80.7,0.00
CCEP,Consumer Defensive,13,0,0.000,13,1.000,0.00,0.0,82.7,0.00
CC,Basic Materials,18,0,0.000,18,1.000,0.00,0.0,81.9,0.00
CB,Financial Services,11,0,0.000,11,1.000,0.00,0.0,81.5,0.00
CASY,Consumer Cyclical,5,0,0.000,5,1.000,0.00,0.0,90.8,0.00
CAMT,Technology,11,0,0.000,11,1.000,0.00,0.0,84.3,0.00
CAKE,Consumer Cyclical,12,0,0.000,12,1.000,0.00,0.0,84.1,0.00
CAH,Healthcare,8,0,0.000,8,1.000,0.00,0.0,83.9,0.00
CAE,Industrials,7,0,0.000,7,1.000,0.00,0.0,74.7,0.00
BYD,Consumer Cyclical,8,0,0.000,8,1.000,0.00,0.0,80.0,0.00
BWXT,Industrials,18,0,0.000,18,1.000,0.00,0.0,84.1,0.00
BWA,Consumer Cyclical,10,0,0.000,10,1.000,0.00,0.0,81.9,0.00
BVN,Basic Materials,16,0,0.000,16,1.000,0.00,0.0,82.3,0.00
BUSE,Financial Services,5,0,0.000,5,1.000,0.00,0.0,77.8,0.00
BURL,Consumer Cyclical,11,0,0.000,11,1.000,0.00,0.0,81.1,0.00
BTU,Energy,21,0,0.000,21,1.000,0.00,0.0,87.5,0.00
BTSG,Healthcare,15,0,0.000,15,1.000,0.00,0.0,82.0,0.00
BTI,Consumer Defensive,14,0,0.000,14,1.000,0.00,0.0,82.9,0.00
BSM,Energy,6,0,0.000,6,1.000,0.00,0.0,89.0,0.00
BSBR,Financial Services,5,0,0.000,5,1.000,0.00,0.0,77.6,0.00
BRX,Real Estate,10,0,0.000,10,1.000,0.00,0.0,77.5,0.00
BPOP,Financial Services,6,0,0.000,6,1.000,0.00,0.0,74.2,0.00
BP,Energy,22,0,0.000,22,1.000,0.00,0.0,85.4,0.00
BNS,Financial Services,5,0,0.000,5,1.000,0.00,0.0,86.0,0.00
BNL,Real Estate,17,0,0.000,17,1.000,0.00,0.0,76.5,0.00
BMY,Healthcare,22,0,0.000,22,1.000,0.00,0.0,81.0,0.00
BMRN,Healthcare,9,0,0.000,9,1.000,0.00,0.0,83.0,0.00
BMO,Financial Services,7,0,0.000,7,1.000,0.00,0.0,79.0,0.00
BKV,Energy,14,0,0.000,14,1.000,0.00,0.0,81.2,0.00
BKU,Financial Services,5,0,0.000,5,1.000,0.00,0.0,77.0,0.00
BKR,Energy,23,0,0.000,23,1.000,0.00,0.0,80.8,0.00
BKH,Utilities,14,0,0.000,14,1.000,0.00,0.0,80.8,0.00
BKD,Healthcare,13,0,0.000,13,1.000,0.00,0.0,81.1,0.00
BK,Financial Services,13,0,0.000,13,1.000,0.00,0.0,78.8,0.00
BIPC,Utilities,6,0,0.000,6,1.000,0.00,0.0,86.9,0.00
BIP,Utilities,18,0,0.000,18,1.000,0.00,0.0,80.7,0.00
BIIB,Healthcare,12,0,0.000,12,1.000,0.00,0.0,81.8,0.00
BHP,Basic Materials,10,0,0.000,10,1.000,0.00,0.0,76.9,0.00
BGC,Financial Services,21,0,0.000,21,1.000,0.00,0.0,85.0,0.00
BG,Consumer Defensive,18,0,0.000,18,1.000,0.00,0.0,80.1,0.00
BFH,Financial Services,7,0,0.000,7,1.000,0.00,0.0,83.7,0.00
BEPC,Utilities,12,0,0.000,12,1.000,0.00,0.0,78.9,0.00
BEP,Utilities,15,0,0.000,15,1.000,0.00,0.0,82.8,0.00
BEN,Financial Services,10,0,0.000,10,1.000,0.00,0.0,81.8,0.00
BEAM,Healthcare,8,0,0.000,8,1.000,0.00,0.0,86.6,0.00
BCE,Communication Services,16,0,0.000,16,1.000,0.00,0.0,83.0,0.00
BBT,Financial Services,17,0,0.000,17,1.000,0.00,0.0,79.3,0.00
BALL,Consumer Cyclical,7,0,0.000,7,1.000,0.00,0.0,75.5,0.00
B,Basic Materials,17,0,0.000,17,1.000,0.00,0.0,80.5,0.00
AZN,Healthcare,13,0,0.000,13,1.000,0.00,0.0,80.4,0.00
AXSM,Healthcare,7,0,0.000,7,1.000,0.00,0.0,79.7,0.00
AXIA,Utilities,16,0,0.000,0,0.000,0.00,0.0,81.4,0.00
AWK,Utilities,12,0,0.000,12,1.000,0.00,0.0,86.8,0.00
AVT,Technology,19,0,0.000,19,1.000,0.00,0.0,79.8,0.00
AUGO,Basic Materials,5,0,0.000,5,1.000,0.00,0.0,79.0,0.00
AU,Basic Materials,18,0,0.000,18,1.000,0.00,0.0,78.5,0.00
ATRO,Industrials,10,0,0.000,10,1.000,0.00,0.0,86.3,0.00
ATO,Utilities,18,0,0.000,18,1.000,0.00,0.0,82.6,0.00
ATMU,Industrials,9,0,0.000,9,1.000,0.00,0.0,86.1,0.00
ATI,Industrials,11,0,0.000,11,1.000,0.00,0.0,82.6,0.00
ATAT,Consumer Cyclical,7,0,0.000,7,1.000,0.00,0.0,75.1,0.00
ASX,Technology,22,0,0.000,22,1.000,0.00,0.0,80.2,0.00
ASO,Consumer Cyclical,13,0,0.000,13,1.000,0.00,0.0,81.5,0.00
ASND,Healthcare,13,0,0.000,13,1.000,0.00,0.0,79.2,0.00
ASB,Financial Services,10,0,0.000,10,1.000,0.00,0.0,79.0,0.00
AROC,Energy,23,0,0.000,23,1.000,0.00,0.0,83.7,0.00
ARMN,Basic Materials,13,0,0.000,13,1.000,0.00,0.0,85.2,0.00
ARMK,Industrials,18,0,0.000,18,1.000,0.00,0.0,78.4,0.00
ARLP,Energy,5,0,0.000,5,1.000,0.00,0.0,83.4,0.00
AR,Energy,17,0,0.000,17,1.000,0.00,0.0,83.2,0.00
AQN,Utilities,14,0,0.000,14,1.000,0.00,0.0,80.0,0.00
APLE,Real Estate,7,0,0.000,7,1.000,0.00,0.0,75.4,0.00
APLD,Technology,9,0,0.000,9,1.000,0.00,0.0,77.9,0.00
APGE,Healthcare,10,0,0.000,10,1.000,0.00,0.0,74.2,0.00
APD,Basic Materials,14,0,0.000,14,1.000,0.00,0.0,80.4,0.00
APA,Energy,18,0,0.000,18,1.000,0.00,0.0,85.9,0.00
AOS,Industrials,5,0,0.000,5,1.000,0.00,0.0,90.0,0.00
AMX,Communication Services,15,0,0.000,15,1.000,0.00,0.0,87.5,0.00
AMTM,Industrials,8,0,0.000,8,1.000,0.00,0.0,76.8,0.00
AMRZ,Basic Materials,13,0,0.000,13,1.000,0.00,0.0,78.3,0.00
AMRX,Healthcare,5,0,0.000,5,1.000,0.00,0.0,76.2,0.00
AMPX,Industrials,7,0,0.000,7,1.000,0.00,0.0,76.1,0.00
AMKR,Technology,13,0,0.000,13,1.000,0.00,0.0,79.8,0.00
AMGN,Healthcare,12,0,0.000,12,1.000,0.00,0.0,79.5,0.00
AME,Industrials,9,0,0.000,9,1.000,0.00,0.0,81.4,0.00
AM,Energy,26,0,0.000,26,1.000,0.00,0.0,83.4,0.00
ALSN,Consumer Cyclical,7,0,0.000,7,1.000,0.00,0.0,72.6,0.00
ALMS,Healthcare,12,0,0.000,12,1.000,0.00,0.0,82.6,0.00
ALM,Basic Materials,20,0,0.000,20,1.000,0.00,0.0,76.5,0.00
ALL,Financial Services,16,0,0.000,16,1.000,0.00,0.0,79.3,0.00
ALGN,Healthcare,9,0,0.000,9,1.000,0.00,0.0,82.2,0.00
ALC,Healthcare,8,0,0.000,8,1.000,0.00,0.0,83.8,0.00
ALB,Basic Materials,16,0,0.000,16,1.000,0.00,0.0,80.7,0.00
AL,Industrials,17,0,0.000,17,1.000,0.00,0.0,80.0,0.00
AKR,Real Estate,13,0,0.000,13,1.000,0.00,0.0,80.0,0.00
AHR,Real Estate,10,0,0.000,10,1.000,0.00,0.0,77.7,0.00
AGRO,Consumer Defensive,9,0,0.000,9,1.000,0.00,0.0,82.7,0.00
AGI,Basic Materials,20,0,0.000,20,1.000,0.00,0.0,80.5,0.00
AFL,Financial Services,5,0,0.000,5,1.000,0.00,0.0,75.8,0.00
AER,Industrials,9,0,0.000,9,1.000,0.00,0.0,83.0,0.00
AEP,Utilities,23,0,0.000,23,1.000,0.00,0.0,80.2,0.00
AEIS,Industrials,8,0,0.000,8,1.000,0.00,0.0,84.9,0.00
AEE,Utilities,19,0,0.000,19,1.000,0.00,0.0,82.2,0.00
ADM,Consumer Defensive,14,0,0.000,14,1.000,0.00,0.0,81.6,0.00
ADEA,Technology,19,0,0.000,19,1.000,0.00,0.0,83.6,0.00
ADC,Real Estate,17,0,0.000,17,1.000,0.00,0.0,79.3,0.00
ACMR,Technology,7,0,0.000,7,1.000,0.00,0.0,77.7,0.00
ACLX,Healthcare,7,0,0.000,7,1.000,0.00,0.0,73.4,0.00
ACLS,Technology,8,0,0.000,8,1.000,0.00,0.0,75.1,0.00
ACHC,Healthcare,7,0,0.000,7,1.000,0.00,0.0,82.2,0.00
ACGL,Financial Services,13,0,0.000,13,1.000,0.00,0.0,75.5,0.00
ABVX,Healthcare,7,0,0.000,7,1.000,0.00,0.0,76.8,0.00
ABNB,Consumer Cyclical,11,0,0.000,11,1.000,0.00,0.0,81.9,0.00
ABBV,Healthcare,9,0,0.000,9,1.000,0.00,0.0,78.4,0.00
AAP,Consumer Cyclical,9,0,0.000,9,1.000,0.00,0.0,83.9,0.00
