ticker,sector,category,days_seen,dp_days,dp_coverage,pcr_days,opt_coverage,avg_dp_pct,dp_pct_cv,avg_block_count,avg_pcr,avg_combined_score
AROC,Energy,C,23,0,0.00,23,1.00,0.00,0.00,0.0,0.265,83.7
ARQT,Healthcare,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.029,73.0
ARR,Real Estate,C,13,1,0.08,13,1.00,67.60,0.00,45.0,0.309,78.1
ARW,Technology,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.490,111.9
ARWR,Healthcare,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.327,74.2
AS,Consumer Cyclical,C,4,0,0.00,4,1.00,0.00,0.00,0.0,0.604,75.5
ASB,Financial Services,C,10,0,0.00,10,1.00,0.00,0.00,0.0,0.140,79.0
ASH,Basic Materials,C,4,0,0.00,4,1.00,0.00,0.00,0.0,0.613,75.0
ASML,Technology,C,22,3,0.14,22,1.00,0.47,1.03,10.0,0.246,83.8
ASND,Healthcare,C,13,0,0.00,13,1.00,0.00,0.00,0.0,0.959,79.2
ASO,Consumer Cyclical,C,13,0,0.00,13,1.00,0.00,0.00,0.0,0.800,81.5
ASTS,Technology,C,15,7,0.47,15,1.00,0.21,0.29,0.0,0.545,84.5
ASX,Technology,C,22,0,0.00,22,1.00,0.00,0.00,0.0,0.349,80.2
ATAT,Consumer Cyclical,C,7,0,0.00,7,1.00,0.00,0.00,0.0,0.259,75.1
ATI,Industrials,C,11,0,0.00,11,1.00,0.00,0.00,0.0,0.963,82.6
ATMU,Industrials,C,9,0,0.00,9,1.00,0.00,0.00,0.0,0.632,86.1
ATO,Utilities,C,18,0,0.00,18,1.00,0.00,0.00,0.0,0.346,82.6
ATR,Healthcare,C,1,0,0.00,1,1.00,0.00,0.00,0.0,2.657,75.0
ATRO,Industrials,C,10,0,0.00,10,1.00,0.00,0.00,0.0,0.946,86.3
AU,Basic Materials,C,18,0,0.00,18,1.00,0.00,0.00,0.0,1.323,78.5
AUB,Financial Services,C,1,0,0.00,1,1.00,0.00,0.00,0.0,24.240,76.5
AUGO,Basic Materials,C,5,0,0.00,5,1.00,0.00,0.00,0.0,1.199,79.0
AUPH,Healthcare,C,2,0,0.00,2,1.00,0.00,0.00,0.0,0.321,106.2
AVA,Utilities,C,2,0,0.00,2,1.00,0.00,0.00,0.0,1.207,100.5
